Order_ID,Date,Category,Product,Region,Sales,Quantity,Profit
1001,2024-01-05,Ноутбуки,Lenovo IdeaPad,Київ,24500,1,4200
1002,2024-01-08,Смартфони,Samsung Galaxy,Львів,18900,2,2800
1003,2024-01-12,Планшети,iPad Air,Харків,21000,1,3100
1004,2024-01-15,Ноутбуки,MacBook Air,Київ,52000,1,8500
1005,2024-01-18,Аксесуари,AirPods,Одеса,5600,3,1200
1006,2024-02-02,Смартфони,iPhone 15,Київ,42000,1,6300
1007,2024-02-07,Планшети,Samsung Tab,Дніпро,14500,2,2100
1008,2024-02-14,Ноутбуки,ASUS ZenBook,Львів,31000,1,5200
1009,2024-02-19,Аксесуари,Logitech Mouse,Харків,1200,5,400
1010,2024-02-25,Смартфони,Xiaomi 13,Одеса,16800,1,2400
1011,2024-03-03,Ноутбуки,HP Pavilion,Київ,28000,1,4600
1012,2024-03-06,Аксесуари,Apple Watch,Львів,12500,1,2100
1013,2024-03-10,Смартфони,Samsung Galaxy,Харків,19200,1,2900
1014,2024-03-13,Планшети,iPad Pro,Київ,38000,1,5800
1015,2024-03-17,Ноутбуки,Dell XPS,Одеса,45000,1,7200
1016,2024-03-21,Аксесуари,JBL Speaker,Дніпро,3200,2,700
1017,2024-03-25,Смартфони,iPhone 15,Львів,41500,1,6200
1018,2024-03-28,Ноутбуки,Lenovo IdeaPad,Харків,25000,1,4300
1019,2024-04-02,Планшети,Samsung Tab,Київ,15000,2,2200
1020,2024-04-05,Аксесуари,AirPods,Одеса,5800,2,1250
1021,2024-04-09,Смартфони,Xiaomi 13,Київ,17200,2,2500
1022,2024-04-12,Ноутбуки,MacBook Air,Дніпро,53000,1,8700
1023,2024-04-16,Аксесуари,Logitech Mouse,Львів,1300,4,420
1024,2024-04-19,Планшети,iPad Air,Харків,22000,1,3300
1025,2024-04-23,Смартфони,Samsung Galaxy,Київ,19500,1,2950
1026,2024-04-26,Ноутбуки,ASUS ZenBook,Одеса,32000,1,5400
1027,2024-04-30,Аксесуари,Apple Watch,Дніпро,13000,1,2200
1028,2024-05-04,Смартфони,iPhone 15,Харків,42500,1,6400
1029,2024-05-07,Ноутбуки,HP Pavilion,Київ,27500,1,4500
1030,2024-05-11,Планшети,iPad Pro,Львів,39000,1,6000
1031,2024-05-14,Аксесуари,JBL Speaker,Київ,3500,3,780
1032,2024-05-18,Смартфони,Xiaomi 13,Одеса,16500,1,2350
1033,2024-05-21,Ноутбуки,Dell XPS,Харків,46000,1,7400
1034,2024-05-25,Планшети,Samsung Tab,Дніпро,14800,1,2150
1035,2024-05-28,Аксесуари,AirPods,Львів,5700,2,1230
