Order_ID,Date,Customer_ID,Customer_Age,Region,Country,Product_Category,Product_Name,Quantity,Unit_Price,Payment_Method
1001,2024-11-23,C2824,19,NorthAm,USA,Furniture,Table,2,1047.38,Credit Card
1002,2024-10-29,C7912,20,Europe,Germany,Furniture,Table,9,942.83,PayPal
1003,2024-11-28,C9928,44,Asia,South Korea,Sports,Basketball,1,614.28,PayPal
1004,2024-12-23,C7924,39,NorthAm,USA,Furniture,Sofa,2,229.84,Credit Card
1005,2024-07-02,C6635,56,NorthAm,USA,Food,Cheese,2,97.58,Cash
1006,2024-02-10,C5803,58,Africa,Nigeria,Sports,Tennis Racket,2,65.28,PayPal
1007,2024-05-28,C2307,32,Europe,Spain,Clothing,Shoes,6,65.54,Bank Transfer
1008,2024-04-17,C5374,62,Europe,Netherlands,Furniture,Desk,4,328.76,Cash
1009,2024-05-18,C4598,61,NorthAm,USA,Furniture,Chair,6,661.63,Credit Card
1010,2024-04-18,C6155,31,SouthAm,Argentina,Food,Coffee,5,22.57,Bank Transfer
1011,2024-10-26,C8019,55,SouthAm,Argentina,Furniture,Table,9,790.92,Credit Card
1012,2024-02-26,C3504,58,Asia,South Korea,Sports,Football,7,323.85,Cash
1013,2024-09-27,C5119,53,Europe,Germany,Sports,Basketball,6,115.9,Cash
1014,2024-03-21,C8433,18,NorthAm,Mexico,Furniture,Desk,2,1318.73,Bank Transfer
1015,2024-11-23,C9317,56,Asia,China,Clothing,T-Shirt,9,286.98,Credit Card
1016,2024-11-02,C6310,49,Europe,Germany,Clothing,Jeans,4,36.22,Credit Card
1017,2024-02-13,C8962,22,Africa,South Africa,Furniture,Bookshelf,9,331.18,Cash
1018,2024-04-18,C9835,64,Asia,India,Food,Tea,8,90.97,Cash
1019,2024-03-02,C5061,32,Europe,Italy,Electronics,Smartwatch,9,614.21,PayPal
1020,2024-01-04,C2163,63,Europe,France,Electronics,Smartphone,6,327.54,PayPal
1021,2024-05-22,C8953,31,Africa,South Africa,Sports,Bicycle Helmet,8,217.11,Cash
1022,2024-07-27,C4119,24,Europe,Spain,Clothing,Shoes,7,150.77,Credit Card
1023,2024-12-10,C2612,21,SouthAm,Chile,Clothing,Jacket,4,73.65,Cash
1024,2024-03-12,C7912,29,NorthAm,Canada,Furniture,Chair,8,1231.23,Credit Card
1025,2024-01-26,C9856,18,Europe,France,Furniture,Bookshelf,8,773.9,Cash
1026,2024-01-31,C3697,42,Europe,Spain,Clothing,Shoes,5,138.44,Cash
1027,2024-03-20,C4111,36,Asia,Japan,Sports,Bicycle Helmet,1,605.94,Credit Card
1028,2024-01-26,C8811,50,Africa,South Africa,Electronics,Smartwatch,2,1732.42,Credit Card
1029,2024-10-31,C2113,61,Asia,South Korea,Electronics,Smartwatch,4,1242.05,Credit Card
1030,2024-11-13,C2343,44,Africa,Egypt,Sports,Basketball,5,187.28,Bank Transfer
1031,2024-05-02,C5351,43,Asia,India,Food,Tea,2,10.84,Credit Card
